gene	pval	qval	log2fc	mean	zero_mean	grad	ll	gene_name	replication
ENSG00000033170	0.09823258197358986	0.14992002585957245	-0.5705448584676132	0.12222232	False	0.000662386977471734	-344.99866414782707	FUT8	1
ENSG00000072694	0.1369376528755344	0.20138882464649366	5.813443368513948	0.022222217000000002	False	0.004100703409826509	-76.821976685583	FCGR2B	1
ENSG00000099250	0.939622319443528	0.952386873251323	-0.06669137449867209	0.10222229	False	0.0014286361611018925	-304.34969687709565	NRP1	1
ENSG00000104972	0.7208475058724706	0.7742701675521826	0.6666667093005817	0.01	False	0.0005814095721293315	-2595.997631380774	LILRB1	1
ENSG00000111537	0.4271390574686019	0.4990659919385375	-0.49808659798856103	0.35222223	False	0.0693000631218674	-636.4841920053898	IFNG	1
ENSG00000113594	4.975180170696536e-05	0.00016570783646364	0.5744308737205629	0.27222207	False	0.001421465736491599	-584.6000148793223	LIFR	1
ENSG00000118257	3.08530978543331e-13	2.348355589033501e-12	1.280933845462065	0.37000006	False	0.01106534921340364	-684.5938698177747	NRP2	1
ENSG00000128342	8.71971995113352e-05	0.00028093847717558306	-3.1552255085331518	0.08111113	False	0.022816287565130246	-191.9874291545706	LIF	1
ENSG00000130234	0.25629564012817085	0.3384349833723716	0.666666866976566	0.019999996000000003	False	0.002735470201579209	-5178.518612895652	ACE2	1
ENSG00000134539	0.0005076014954261686	0.0014291729294012366	0.7096764825111558	0.11777784	False	0.007502185607529031	-312.6742312835022	KLRD1	1
ENSG00000134545	0.1940736137724539	0.26501972953562913	-0.8266785731844671	0.03333333	False	0.001613590936052018	-125.8491383383646	KLRC1	1
ENSG00000143226	4.754819734809068e-05	0.00015911599472549318	2.277267285009756	0.054444455	False	0.00811837738768815	-167.16279290412422	FCGR2A	1
ENSG00000172936	0.00015251479637157228	0.0004727166727657833	-1.0245043165143874	0.17111099	False	0.002528571473071655	-426.95684915431997	MYD88	1
ENSG00000184012	0.0	0.0	1.4442816187702392	0.6722215	False	0.014034778058799862	-954.6626954530119	TMPRSS2	1
ENSG00000186074	0.2028982616817052	0.27529045390428697	6.956259842475463	0.012222221	False	0.0008312772018738674	-50.45331402523177	CD300LF	1
ENSG00000033170	0.15912753573130534	0.2232835564825556	-0.510825623765991	0.12222231	False	0.00031614663457634314	-344.9525540490011	FUT8	2
ENSG00000072694	0.003708493891700471	0.008683574002435855	5.598588716468787	0.027777776	False	0.004616081409775469	-94.0742733816103	FCGR2B	2
ENSG00000099250	0.4585777397396491	0.5312755803209146	0.3746934494414104	0.09000005	False	0.00013879969264150114	-277.98032471589283	NRP1	2
ENSG00000104972	0.370512185838906	0.4608001124957181	-1.5000001468576336	0.008888889	False	0.003501993672699465	-2305.0883066403635	LILRB1	2
ENSG00000111537	0.1965114667368557	0.2676854044908625	-0.7005821590474633	0.33	False	0.08830817937762626	-666.8995486409598	IFNG	2
ENSG00000113594	0.000207944337597854	0.0006297003911344483	0.5725191927713308	0.2666665	False	0.003545596385027044	-576.4205192161194	LIFR	2
ENSG00000118257	3.241851231905457e-14	2.651199752491841e-13	1.422103813816602	0.3677778	False	0.011388530220008228	-678.2770536831448	NRP2	2
ENSG00000128342	0.00011480029095889409	0.0003657876162606103	-4.0404136860309965	0.071111135	False	0.01474382938607769	-179.22488011234745	LIF	2
ENSG00000130234	0.5505615176284522	0.6196363056489298	-0.405465108108164	0.019999996000000003	False	4.904646769946508e-06	-87.56701497482244	ACE2	2
ENSG00000134539	0.00020551036525662256	0.0006229128926832041	1.2964417797157584	0.13666664	False	0.016546027262828847	-318.77663145502174	KLRD1	2
ENSG00000134545	0.020494934280618216	0.03882122850561267	-1.3350010667323406	0.033333327999999995	False	7.852084114508105e-05	-122.13263387341308	KLRC1	2
