gene	pval	qval	log2fc	mean	zero_mean	grad	coef_mle	coef_sd	ll	replication	gene_name	groups
ENSG00000143226	0.0	0.0	-1.6722858160937637	0.3899997	False	0.016029219764441802	-1.6722858160937637	0.19989562037467293	-451.6975279418323	1	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-2.226045015871712	0.32499978	False	0.021942837414615685	-2.226045015871712	0.26078227462569553	-389.2290626173297	2	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-1.8325814637483109	0.43499964	False	0.018479420739411345	-1.8325814637483109	0.19531723123290054	-471.49359209607735	3	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-1.9997347990690928	0.43333299999999997	False	0.021271577017864318	-1.9997347990690928	0.20637791332451813	-463.2667320807514	4	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-2.0093319754928096	0.33833307	False	0.017116222177954037	-2.0093319754928096	0.23716358984694766	-404.4128311303348	5	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-1.8607523407150068	0.34666643	False	0.013534114127901516	-1.8607523407150068	0.22361946924485748	-414.8194133719672	6	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-1.8405496333974865	0.36499970000000004	False	0.0198593853488196	-1.8405496333974865	0.2191744304506394	-429.69719509469536	8	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-1.9750384219783377	0.39666638	False	0.027351219606865276	-1.9750384219783377	0.2331332510819223	-447.4828217162642	9	FCGR2A	healthy_control_vs_mild
ENSG00000143226	0.0	0.0	-1.5388203452201474	0.41499966	False	0.013923962268636129	-1.5388203452201474	0.18429841437370814	-472.1792770546763	9	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-2.2284771208403247	0.35999975	False	0.02056237912315139	-2.2284771208403247	0.2450096639075696	-410.4669436848445	10	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-2.1919195251065267	0.34833309999999995	False	0.0195606204881649	-2.1919195251065267	0.2570292051146428	-406.0827479040215	12	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-1.765783982824794	0.44499967	False	0.021722253137190943	-1.765783982824794	0.19045646321848053	-481.16317656884377	13	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-2.197224577336219	0.3666664	False	0.01845955867886932	-2.197224577336219	0.2385040889626821	-414.4301249763211	15	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-1.988469763474109	0.31833312	False	0.01330116312225488	-1.988469763474109	0.2350640717986931	-387.25192187266885	16	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-2.2407096892759584	0.34666643	False	0.020030399145300637	-2.2407096892759584	0.2540980701417163	-403.0297951165648	17	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-1.9668533229005567	0.3666664	False	0.017418993582691732	-1.9668533229005567	0.2190197118740204	-421.4844890025074	19	FCGR2A	healthy_control_vs_severe
ENSG00000143226	0.0	0.0	-2.238681291014565	0.36333308	False	0.035088443246586186	-2.238681291014565	0.2578087582361152	-420.018955271987	20	FCGR2A	healthy_control_vs_mild
